ID1	ID2	Y	Map	X1	X2
"DB04571"	"DB00460"	1	"#Drug1 may increase the photosensitizing activities of #Drug2."	"CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1"	"COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C"
"DB00855"	"DB00460"	1	"#Drug1 may increase the photosensitizing activities of #Drug2."	"NCC(=O)CCC(O)=O"	"COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C"
"DB09536"	"DB00460"	1	"#Drug1 may increase the photosensitizing activities of #Drug2."	"O=[Ti]=O"	"COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C"
"DB01600"	"DB00460"	1	"#Drug1 may increase the photosensitizing activities of #Drug2."	"CC(C(O)=O)C1=CC=C(S1)C(=O)C1=CC=CC=C1"	"COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C"
"DB09000"	"DB00460"	1	"#Drug1 may increase the photosensitizing activities of #Drug2."	"CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C#N"	"COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C"
"DB11630"	"DB00460"	1	"#Drug1 may increase the photosensitizing activities of #Drug2."	"Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)CC4)C=C3)c1"	"COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C"
"DB00553"	"DB00460"	1	"#Drug1 may increase the photosensitizing activities of #Drug2."	"COC1=C2OC(=O)C=CC2=CC2=C1OC=C2"	"COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C"
"DB06261"	"DB00460"	1	"#Drug1 may increase the photosensitizing activities of #Drug2."	"[H]N([H])CC(=O)CCC(=O)OCCCCCC"	"COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C"
"DB01878"	"DB00460"	1	"#Drug1 may increase the photosensitizing activities of #Drug2."	"O=C(C1=CC=CC=C1)C1=CC=CC=C1"	"COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C"
"DB00140"	"DB00460"	1	"#Drug1 may increase the photosensitizing activities of #Drug2."	"CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1"	"COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C"
